Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
MIN,Jeff Teague,29,70,70,2311,354,794,0.446,84,228,0.368,270,566,0.477,0.499,202,239,0.845,24,185,209,492,102,22,177,171,994
MIN,Jimmy Butler,28,59,59,2164,437,921,0.474,70,200,0.35,367,721,0.509,0.512,363,425,0.854,79,235,314,288,116,24,108,78,1307
MIN,Jamal Crawford,37,80,0,1653,308,742,0.415,104,314,0.331,204,428,0.477,0.485,102,113,0.903,21,78,99,185,40,9,95,85,822
MIN,Tyus Jones,21,82,11,1467,150,328,0.457,45,129,0.349,105,199,0.528,0.526,71,81,0.877,16,116,132,232,95,6,59,110,416
MIN,Nemanja Bjelica,29,67,21,1371,171,371,0.461,76,183,0.415,95,188,0.505,0.563,36,45,0.8,53,221,274,86,50,16,52,141,454
MIN,Gorgui Dieng,28,79,0,1333,186,388,0.479,19,61,0.311,167,327,0.511,0.504,79,102,0.775,106,254,360,71,45,39,59,147,470
MIN,Shabazz Muhammad,25,32,2,301,47,121,0.388,4,19,0.211,43,102,0.422,0.405,22,31,0.71,15,30,45,7,5,2,5,23,120
MIN,Marcus Georges-Hunt,23,42,0,224,21,48,0.438,4,15,0.267,17,33,0.515,0.479,13,21,0.619,7,9,16,7,6,0,3,32,59
MIN,Aaron Brooks,33,32,1,189,28,69,0.406,11,31,0.355,17,38,0.447,0.486,8,11,0.727,7,10,17,20,6,0,11,28,75
MIN,Derrick Rose,29,9,0,112,23,54,0.426,1,6,0.167,22,48,0.458,0.435,5,5,1,3,3,6,11,4,0,7,2,52
MIN,Cole Aldrich,29,21,0,49,5,15,0.333,0,0,,5,15,0.333,0.333,2,6,0.333,3,12,15,3,2,1,1,11,12
MIN,Justin Patton,20,1,0,4,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,0,1,0,0,1,2
MIN,Anthony Brown,25,1,0,4,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,1,0,0,0,0,3
DEN,Will Barton,27,81,40,2683,465,1028,0.452,156,422,0.37,309,606,0.51,0.528,182,226,0.805,70,339,409,331,82,52,149,168,1268
DEN,Jamal Murray,20,81,80,2565,479,1062,0.451,165,436,0.378,314,626,0.502,0.529,229,253,0.905,82,215,297,274,79,28,172,173,1352
DEN,Nikola Jokic,22,75,73,2443,504,1010,0.499,111,280,0.396,393,730,0.538,0.554,266,313,0.85,195,608,803,458,90,61,210,212,1385
DEN,Wilson Chandler,30,74,71,2346,281,631,0.445,88,246,0.358,193,385,0.501,0.515,88,114,0.772,102,296,398,160,43,39,92,156,738
DEN,Gary Harris,23,67,65,2304,440,908,0.485,156,394,0.396,284,514,0.553,0.57,134,162,0.827,37,139,176,194,122,15,119,119,1170
DEN,Mason Plumlee,27,74,26,1439,221,368,0.601,0,1,0,221,367,0.602,0.601,82,180,0.456,132,268,400,142,49,81,103,184,524
DEN,Trey Lyles,22,73,2,1391,270,550,0.491,83,218,0.381,187,332,0.563,0.566,101,145,0.697,55,292,347,91,30,34,61,111,724
